package	version_code	version_name	apk	apk_role	sha256	size_bytes	signer_sha256	signer_dn	signature_schemes	source_stamp_verified	source_stamp_sha256	permissions
com.ionitech.airscreen	566		com.ionitech.airscreen/split_config.xxxhdpi.apk	split:config.xxxhdpi	b6fbc12421cca5c6081440a7a6bb9b4df331fe9ccbbe3fce6873c8763e6669e4	100434	022735b12fbf727124db5134797acf06fe094cec2729301caf263cc145f6261c	CN=AirScreen, OU=IoniTech	v1,v2,v3	true	3257d599a49d2c961a471ca9843f59d341a405884583fc087df4237b733bbd6d	-
com.netflix.mediaclient	63705	9.40.0 build 7 63705	com.netflix.mediaclient/base.apk	base	b4ccf67fdd029af79feb1c83e07577b658ef338002d251e0889b9a4f6daf9daf	128118305	280bf00d987a64f235ea34f9f4d3bb2f95d48fb304e5ee8a2b1d1e5f3d19cfd0 | 363863596ea99241eb71b1a985553aa604de3ea3c5f0c546742390e682164e6b	CN=Client Security Integrations, OU=Netflix, O=Netflix, L=Los Gatos, ST=CA, C=US | CN=PPD Builder, OU=PPD, O="Netflix, Inc.", L=Los Gatos, ST=California, C=US	v3,v3.1	false		android.permission.ACCESS_NETWORK_STATE,android.permission.ACCESS_WIFI_STATE,android.permission.BLUETOOTH,android.permission.CHANGE_WIFI_MULTICAST_STATE,android.permission.FOREGROUND_SERVICE,android.permission.FOREGROUND_SERVICE_DATA_SYNC,android.permission.INTERNET,android.permission.MODIFY_AUDIO_SETTINGS,android.permission.POST_NOTIFICATIONS,android.permission.RECEIVE_BOOT_COMPLETED,android.permission.RECORD_AUDIO,android.permission.RUN_USER_INITIATED_JOBS,android.permission.VIBRATE,android.permission.WAKE_LOCK,android.permission.WRITE_EXTERNAL_STORAGE,com.amazon.permission.SET_FLAG_NOSOFTKEYS,com.google.android.c2dm.permission.RECEIVE,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,com.google.android.gms.permission.AD_ID,com.netflix.mediaclient.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,com.netflix.nfgsdk.permission.ngpstore,com.netflix.partner.activation.permission.CHANNEL_ID
com.openai.chatgpt	2621629	1.2026.216	com.openai.chatgpt/base.apk	base	e3cdafd70a2f6881aa31ca6dd79fb9a4cd6aea64b473445ca73b8ad86def781a	62639381	b24f4bfbb3cf293f938703b9d87027c1102cc36dc4fa206910e08927db40473c	CN=Android, OU=Android, O=Google Inc., L=Mountain View, ST=California, C=US	v3	true	3257d599a49d2c961a471ca9843f59d341a405884583fc087df4237b733bbd6d	android.permission.ACCESS_COARSE_LOCATION,android.permission.ACCESS_FINE_LOCATION,android.permission.ACCESS_NETWORK_STATE,android.permission.ACCESS_WIFI_STATE,android.permission.BLUETOOTH,android.permission.CAMERA,android.permission.CHANGE_NETWORK_STATE,android.permission.DETECT_SCREEN_CAPTURE,android.permission.FOREGROUND_SERVICE,android.permission.FOREGROUND_SERVICE_DATA_SYNC,android.permission.FOREGROUND_SERVICE_MEDIA_PROJECTION,android.permission.FOREGROUND_SERVICE_MICROPHONE,android.permission.INTERNET,android.permission.MODIFY_AUDIO_SETTINGS,android.permission.NFC,android.permission.POST_NOTIFICATIONS,android.permission.POST_PROMOTED_NOTIFICATIONS,android.permission.READ_BASIC_PHONE_STATE,android.permission.READ_CONTACTS,android.permission.RECEIVE_BOOT_COMPLETED,android.permission.RECORD_AUDIO,android.permission.USE_BIOMETRIC,android.permission.USE_FINGERPRINT,android.permission.VIBRATE,android.permission.WAKE_LOCK,com.android.vending.BILLING,com.google.android.c2dm.permission.RECEIVE,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,com.google.android.gms.permission.AD_ID,com.openai.chatgpt.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION
com.openai.chatgpt	2621629		com.openai.chatgpt/split_config.arm64_v8a.apk	split:config.arm64_v8a	c9c92191c22bffd40d84f34cba082328feaedcc22cf0bc1af9a31e690b08605a	14422932	b24f4bfbb3cf293f938703b9d87027c1102cc36dc4fa206910e08927db40473c	CN=Android, OU=Android, O=Google Inc., L=Mountain View, ST=California, C=US	v3	true	3257d599a49d2c961a471ca9843f59d341a405884583fc087df4237b733bbd6d	-
com.openai.chatgpt	2621629		com.openai.chatgpt/split_config.en.apk	split:config.en	8da316828db0c570ded78fcd48bbb94c5087691a3419b64f1fc46de2413d4d33	876754	b24f4bfbb3cf293f938703b9d87027c1102cc36dc4fa206910e08927db40473c	CN=Android, OU=Android, O=Google Inc., L=Mountain View, ST=California, C=US	v3	true	3257d599a49d2c961a471ca9843f59d341a405884583fc087df4237b733bbd6d	-
com.openai.chatgpt	2621629		com.openai.chatgpt/split_config.xxxhdpi.apk	split:config.xxxhdpi	cfcbe82071a75ce1dcc01e5e673ddbb0d118a7f64af908c984d666597d1a0a16	156184	b24f4bfbb3cf293f938703b9d87027c1102cc36dc4fa206910e08927db40473c	CN=Android, OU=Android, O=Google Inc., L=Mountain View, ST=California, C=US	v3	true	3257d599a49d2c961a471ca9843f59d341a405884583fc087df4237b733bbd6d	-
com.peacocktv.peacockandroid	230706100	7.6.100	com.peacocktv.peacockandroid/base.apk	base	bee95168b499ce7122a4bb7bec05e1e988a2cdd414235d263100b18ecb75cd27	17645675	e5efd56fa3246e480546ecac4d7928051422a26c5676190e459791fafa8c8093	CN=Peacock, OU=Sky Lisbon Tech Center, O=Peacock TV LLC, L=New York, ST=NY, C=US	v3	true	3257d599a49d2c961a471ca9843f59d341a405884583fc087df4237b733bbd6d	android.permission.ACCESS_NETWORK_STATE,android.permission.ACCESS_WIFI_STATE,android.permission.INTERNET,android.permission.POST_NOTIFICATIONS,android.permission.RECEIVE_BOOT_COMPLETED,android.permission.WAKE_LOCK,com.android.providers.tv.permission.READ_EPG_DATA,com.android.providers.tv.permission.WRITE_EPG_DATA,com.android.vending.BILLING,com.google.android.gms.permission.AD_ID,com.peacocktv.peacockandroid.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION
com.peacocktv.peacockandroid	230706100		com.peacocktv.peacockandroid/split_config.arm64_v8a.apk	split:config.arm64_v8a	f525ccfc0ac6d596e2eb33fe803361a943b3164e07faf4b3a57b1be22bd55a82	499935	e5efd56fa3246e480546ecac4d7928051422a26c5676190e459791fafa8c8093	CN=Peacock, OU=Sky Lisbon Tech Center, O=Peacock TV LLC, L=New York, ST=NY, C=US	v3	true	3257d599a49d2c961a471ca9843f59d341a405884583fc087df4237b733bbd6d	-
com.peacocktv.peacockandroid	230706100		com.peacocktv.peacockandroid/split_config.en.apk	split:config.en	fadf42976e004de5a24f67e798827f636c80e8dd99b805031ea5201f88e0e655	53458	e5efd56fa3246e480546ecac4d7928051422a26c5676190e459791fafa8c8093	CN=Peacock, OU=Sky Lisbon Tech Center, O=Peacock TV LLC, L=New York, ST=NY, C=US	v3	true	3257d599a49d2c961a471ca9843f59d341a405884583fc087df4237b733bbd6d	-
com.peacocktv.peacockandroid	230706100		com.peacocktv.peacockandroid/split_config.es.apk	split:config.es	3832063505a889e5ed2954358f334bff01d1f53ff9d68916ee47f4c268175234	24786	e5efd56fa3246e480546ecac4d7928051422a26c5676190e459791fafa8c8093	CN=Peacock, OU=Sky Lisbon Tech Center, O=Peacock TV LLC, L=New York, ST=NY, C=US	v3	true	3257d599a49d2c961a471ca9843f59d341a405884583fc087df4237b733bbd6d	-
