artifact	entry	kind	artifact_sha256	entry_sha256	entry_size_bytes	package	version_code	version_name	apk_role	signer_sha256	signer_dn	signature_schemes	source_stamp_verified	source_stamp_sha256	source_url	retrieved_at	source_status
disneyplus-latest.xapk	config.vi.apk	xapk-member	9e101a12c20316b3856d8204cc92ca5c0722d61fb148b47f45c304a45ad9b4f3	beb2d695572b6d4674523eb6bdbfdbade3a7bcf43c85645fc551096f638081db	90521	com.disney.disneyplus	1785372530		split:config.vi	b4d251e979ea974d8f070feb5ab69fc4c2873f4e8add421ff63ad5f2789d63d4	CN=Android, OU=Android, O=Google Inc., L=Mountain View, ST=California, C=US	v1,v2,v3	true	3257d599a49d2c961a471ca9843f59d341a405884583fc087df4237b733bbd6d	-	-	unresolved
disneyplus-latest.xapk	config.en.apk	xapk-member	9e101a12c20316b3856d8204cc92ca5c0722d61fb148b47f45c304a45ad9b4f3	73628db76963c20ebc60ed27ccda43399f529d0f1be66acef0d1b58a3b6bfdee	237977	com.disney.disneyplus	1785372530		split:config.en	b4d251e979ea974d8f070feb5ab69fc4c2873f4e8add421ff63ad5f2789d63d4	CN=Android, OU=Android, O=Google Inc., L=Mountain View, ST=California, C=US	v1,v2,v3	true	3257d599a49d2c961a471ca9843f59d341a405884583fc087df4237b733bbd6d	-	-	unresolved
disneyplus-latest.xapk	config.es.apk	xapk-member	9e101a12c20316b3856d8204cc92ca5c0722d61fb148b47f45c304a45ad9b4f3	35edffb9c7d264b7f79189bff8e58a95f099d7ddf32be4334c18edba686a8402	160153	com.disney.disneyplus	1785372530		split:config.es	b4d251e979ea974d8f070feb5ab69fc4c2873f4e8add421ff63ad5f2789d63d4	CN=Android, OU=Android, O=Google Inc., L=Mountain View, ST=California, C=US	v1,v2,v3	true	3257d599a49d2c961a471ca9843f59d341a405884583fc087df4237b733bbd6d	-	-	unresolved
disneyplus-latest.xapk	config.in.apk	xapk-member	9e101a12c20316b3856d8204cc92ca5c0722d61fb148b47f45c304a45ad9b4f3	7e61a9371d6b0e902ca19f93317f37e0c9959fcc5aa7daf74dc0f36c83de7972	90521	com.disney.disneyplus	1785372530		split:config.in	b4d251e979ea974d8f070feb5ab69fc4c2873f4e8add421ff63ad5f2789d63d4	CN=Android, OU=Android, O=Google Inc., L=Mountain View, ST=California, C=US	v1,v2,v3	true	3257d599a49d2c961a471ca9843f59d341a405884583fc087df4237b733bbd6d	-	-	unresolved
disneyplus-latest.xapk	config.ko.apk	xapk-member	9e101a12c20316b3856d8204cc92ca5c0722d61fb148b47f45c304a45ad9b4f3	f4761d80171bd982f33beb03c56845ca9493edaa06579c4cef3a5254b426e903	94617	com.disney.disneyplus	1785372530		split:config.ko	b4d251e979ea974d8f070feb5ab69fc4c2873f4e8add421ff63ad5f2789d63d4	CN=Android, OU=Android, O=Google Inc., L=Mountain View, ST=California, C=US	v1,v2,v3	true	3257d599a49d2c961a471ca9843f59d341a405884583fc087df4237b733bbd6d	-	-	unresolved
disneyplus-latest.xapk	config.pt.apk	xapk-member	9e101a12c20316b3856d8204cc92ca5c0722d61fb148b47f45c304a45ad9b4f3	61bddba05c0520899cc89fb9c5af9865c52e81ea4b38d3ad630c203c68097be5	123289	com.disney.disneyplus	1785372530		split:config.pt	b4d251e979ea974d8f070feb5ab69fc4c2873f4e8add421ff63ad5f2789d63d4	CN=Android, OU=Android, O=Google Inc., L=Mountain View, ST=California, C=US	v1,v2,v3	true	3257d599a49d2c961a471ca9843f59d341a405884583fc087df4237b733bbd6d	-	-	unresolved
disneyplus-latest.xapk	config.xhdpi.apk	xapk-member	9e101a12c20316b3856d8204cc92ca5c0722d61fb148b47f45c304a45ad9b4f3	eab2a334b383c6decd7e5dcb6c8b618b5c69c932b5b2cba3eef1915e446148aa	343215	com.disney.disneyplus	1785372530		split:config.xhdpi	b4d251e979ea974d8f070feb5ab69fc4c2873f4e8add421ff63ad5f2789d63d4	CN=Android, OU=Android, O=Google Inc., L=Mountain View, ST=California, C=US	v1,v2,v3	true	3257d599a49d2c961a471ca9843f59d341a405884583fc087df4237b733bbd6d	-	-	unresolved
disneyplus-latest.xapk	config.de.apk	xapk-member	9e101a12c20316b3856d8204cc92ca5c0722d61fb148b47f45c304a45ad9b4f3	4d460aca251bdcff09b79ac9845c338eefe3e67c2234b80bc62161e05fa2e10b	94617	com.disney.disneyplus	1785372530		split:config.de	b4d251e979ea974d8f070feb5ab69fc4c2873f4e8add421ff63ad5f2789d63d4	CN=Android, OU=Android, O=Google Inc., L=Mountain View, ST=California, C=US	v1,v2,v3	true	3257d599a49d2c961a471ca9843f59d341a405884583fc087df4237b733bbd6d	-	-	unresolved
disneyplus-latest.xapk	config.hi.apk	xapk-member	9e101a12c20316b3856d8204cc92ca5c0722d61fb148b47f45c304a45ad9b4f3	0117e72eaaed352f3662990165cb3cc679a491d0197f57a4a9212ce0d2928a8d	74137	com.disney.disneyplus	1785372530		split:config.hi	b4d251e979ea974d8f070feb5ab69fc4c2873f4e8add421ff63ad5f2789d63d4	CN=Android, OU=Android, O=Google Inc., L=Mountain View, ST=California, C=US	v1,v2,v3	true	3257d599a49d2c961a471ca9843f59d341a405884583fc087df4237b733bbd6d	-	-	unresolved
disneyplus-latest.xapk	config.it.apk	xapk-member	9e101a12c20316b3856d8204cc92ca5c0722d61fb148b47f45c304a45ad9b4f3	b60e73293cb1d1a782297bf44b43a35b8afaa5ec57228b6cfb8fc64efb7d9432	94617	com.disney.disneyplus	1785372530		split:config.it	b4d251e979ea974d8f070feb5ab69fc4c2873f4e8add421ff63ad5f2789d63d4	CN=Android, OU=Android, O=Google Inc., L=Mountain View, ST=California, C=US	v1,v2,v3	true	3257d599a49d2c961a471ca9843f59d341a405884583fc087df4237b733bbd6d	-	-	unresolved
disneyplus-latest.xapk	config.my.apk	xapk-member	9e101a12c20316b3856d8204cc92ca5c0722d61fb148b47f45c304a45ad9b4f3	a1d568968b526bc405a2640a72a83a639b3d4f7a18fc30e0c7d8faf0dd3c5114	78233	com.disney.disneyplus	1785372530		split:config.my	b4d251e979ea974d8f070feb5ab69fc4c2873f4e8add421ff63ad5f2789d63d4	CN=Android, OU=Android, O=Google Inc., L=Mountain View, ST=California, C=US	v1,v2,v3	true	3257d599a49d2c961a471ca9843f59d341a405884583fc087df4237b733bbd6d	-	-	unresolved
disneyplus-latest.xapk	config.ru.apk	xapk-member	9e101a12c20316b3856d8204cc92ca5c0722d61fb148b47f45c304a45ad9b4f3	864ccc042c16c19a2b5c677f66e608c815198b6bfdea8d4a81d75dacfc5173ce	94617	com.disney.disneyplus	1785372530		split:config.ru	b4d251e979ea974d8f070feb5ab69fc4c2873f4e8add421ff63ad5f2789d63d4	CN=Android, OU=Android, O=Google Inc., L=Mountain View, ST=California, C=US	v1,v2,v3	true	3257d599a49d2c961a471ca9843f59d341a405884583fc087df4237b733bbd6d	-	-	unresolved
disneyplus-latest.xapk	config.zh.apk	xapk-member	9e101a12c20316b3856d8204cc92ca5c0722d61fb148b47f45c304a45ad9b4f3	d4b39299b012c6f43861db392e6da7162afa3de1c389adcfae7c0b2ad499af11	184729	com.disney.disneyplus	1785372530		split:config.zh	b4d251e979ea974d8f070feb5ab69fc4c2873f4e8add421ff63ad5f2789d63d4	CN=Android, OU=Android, O=Google Inc., L=Mountain View, ST=California, C=US	v1,v2,v3	true	3257d599a49d2c961a471ca9843f59d341a405884583fc087df4237b733bbd6d	-	-	unresolved
disneyplus-latest.xapk	config.ar.apk	xapk-member	9e101a12c20316b3856d8204cc92ca5c0722d61fb148b47f45c304a45ad9b4f3	2563198c45e432fbdd3750eb69726e1581883053d4a6d0bf8c9d787991fec41d	94617	com.disney.disneyplus	1785372530		split:config.ar	b4d251e979ea974d8f070feb5ab69fc4c2873f4e8add421ff63ad5f2789d63d4	CN=Android, OU=Android, O=Google Inc., L=Mountain View, ST=California, C=US	v1,v2,v3	true	3257d599a49d2c961a471ca9843f59d341a405884583fc087df4237b733bbd6d	-	-	unresolved
disneyplus-latest.xapk	config.th.apk	xapk-member	9e101a12c20316b3856d8204cc92ca5c0722d61fb148b47f45c304a45ad9b4f3	2e395e59b6e8cdd68e2b7dc779520a448e89a381f6dd08db4b3364ae886f9ac9	94617	com.disney.disneyplus	1785372530		split:config.th	b4d251e979ea974d8f070feb5ab69fc4c2873f4e8add421ff63ad5f2789d63d4	CN=Android, OU=Android, O=Google Inc., L=Mountain View, ST=California, C=US	v1,v2,v3	true	3257d599a49d2c961a471ca9843f59d341a405884583fc087df4237b733bbd6d	-	-	unresolved
disneyplus-latest.xapk	config.armeabi_v7a.apk	xapk-member	9e101a12c20316b3856d8204cc92ca5c0722d61fb148b47f45c304a45ad9b4f3	8145d8a933de9739e12e26c04f266407631894dbf6307d99519281cf62b4a9a9	15860647	com.disney.disneyplus	1785372530		split:config.armeabi_v7a	b4d251e979ea974d8f070feb5ab69fc4c2873f4e8add421ff63ad5f2789d63d4	CN=Android, OU=Android, O=Google Inc., L=Mountain View, ST=California, C=US	v1,v2,v3	true	3257d599a49d2c961a471ca9843f59d341a405884583fc087df4237b733bbd6d	-	-	unresolved
flauncher-latest.apk	-	apk	36e13a97d92dbfa038f5af3976b05d86ea504ed664dd2ed0a21f3b560ce19cb4	36e13a97d92dbfa038f5af3976b05d86ea504ed664dd2ed0a21f3b560ce19cb4	26737553	me.efesser.flauncher	366	0.18.0	base	0dfffb6265da7a3397ee3f26003a0ae3bc10c6cbf568c811e1f1f8578d1d3bdc	CN=Android, OU=Android, O=Google Inc., L=Mountain View, ST=California, C=US	v1,v2,v3	true	3257d599a49d2c961a471ca9843f59d341a405884583fc087df4237b733bbd6d	-	-	unresolved
hbomax-latest.xapk	-	xapk-container	eea60f4477ff89b100044e1a62fadba3dbad01214542bae2be9829a087dcbebd	-	88171324	-	-	-	-	-	-	-	-	-	-	-	unresolved
hbomax-latest.xapk	com.wbd.hbomax.apk	xapk-member	eea60f4477ff89b100044e1a62fadba3dbad01214542bae2be9829a087dcbebd	dbbce929cd7b181e78b528c552e219ac0492aaaf7c576647955f3d67f0081def	49985349	com.wbd.hbomax	1827081004	7.8.1.4	base	619cbb027b715560b843d15a5599f900485af1cd4294097811a77609bc8273a8	CN=MLB Advanced Media - HBO NOW, O=MLB Advanced Media, L=New York, ST=NY, C=1	v2,v3	true	3257d599a49d2c961a471ca9843f59d341a405884583fc087df4237b733bbd6d	-	-	unresolved
hbomax-latest.xapk	config.nl.apk	xapk-member	eea60f4477ff89b100044e1a62fadba3dbad01214542bae2be9829a087dcbebd	e285303d105f6ba4cda2fb379a01a2d886e274b70b410b849061d94506e44290	73938	com.wbd.hbomax	1827081004		split:config.nl	619cbb027b715560b843d15a5599f900485af1cd4294097811a77609bc8273a8	CN=MLB Advanced Media - HBO NOW, O=MLB Advanced Media, L=New York, ST=NY, C=1	v2,v3	true	3257d599a49d2c961a471ca9843f59d341a405884583fc087df4237b733bbd6d	-	-	unresolved
hbomax-latest.xapk	config.arm64_v8a.apk	xapk-member	eea60f4477ff89b100044e1a62fadba3dbad01214542bae2be9829a087dcbebd	22f49563c4ab198ef64992e44e66f53ad3690c836e78c5e0b4ce47b11c0c3d15	18670042	com.wbd.hbomax	1827081004		split:config.arm64_v8a	619cbb027b715560b843d15a5599f900485af1cd4294097811a77609bc8273a8	CN=MLB Advanced Media - HBO NOW, O=MLB Advanced Media, L=New York, ST=NY, C=1	v2,v3	true	3257d599a49d2c961a471ca9843f59d341a405884583fc087df4237b733bbd6d	-	-	unresolved
hbomax-latest.xapk	config.ar.apk	xapk-member	eea60f4477ff89b100044e1a62fadba3dbad01214542bae2be9829a087dcbebd	8f38f0e571da74e729f8d1eb2875278b577027812fbf0a07ea16a728f8c9cc77	53458	com.wbd.hbomax	1827081004		split:config.ar	619cbb027b715560b843d15a5599f900485af1cd4294097811a77609bc8273a8	CN=MLB Advanced Media - HBO NOW, O=MLB Advanced Media, L=New York, ST=NY, C=1	v2,v3	true	3257d599a49d2c961a471ca9843f59d341a405884583fc087df4237b733bbd6d	-	-	unresolved
hbomax-latest.xapk	config.fr.apk	xapk-member	eea60f4477ff89b100044e1a62fadba3dbad01214542bae2be9829a087dcbebd	8d7623c923f772783c3bf13c2d7cf436e3fb4936216148d70efc83b8e794de19	102610	com.wbd.hbomax	1827081004		split:config.fr	619cbb027b715560b843d15a5599f900485af1cd4294097811a77609bc8273a8	CN=MLB Advanced Media - HBO NOW, O=MLB Advanced Media, L=New York, ST=NY, C=1	v2,v3	true	3257d599a49d2c961a471ca9843f59d341a405884583fc087df4237b733bbd6d	-	-	unresolved
hbomax-latest.xapk	config.ms.apk	xapk-member	eea60f4477ff89b100044e1a62fadba3dbad01214542bae2be9829a087dcbebd	0112aa52528e5ca49283fa3e30e65debdc7a7457f1f67405d61c9cd906a80ba2	73938	com.wbd.hbomax	1827081004		split:config.ms	619cbb027b715560b843d15a5599f900485af1cd4294097811a77609bc8273a8	CN=MLB Advanced Media - HBO NOW, O=MLB Advanced Media, L=New York, ST=NY, C=1	v2,v3	true	3257d599a49d2c961a471ca9843f59d341a405884583fc087df4237b733bbd6d	-	-	unresolved
hbomax-latest.xapk	config.ja.apk	xapk-member	eea60f4477ff89b100044e1a62fadba3dbad01214542bae2be9829a087dcbebd	579fa0ee63f4b6a681a5494978cc02458c40307f509abde82cb27ae3dc4037ab	49362	com.wbd.hbomax	1827081004		split:config.ja	619cbb027b715560b843d15a5599f900485af1cd4294097811a77609bc8273a8	CN=MLB Advanced Media - HBO NOW, O=MLB Advanced Media, L=New York, ST=NY, C=1	v2,v3	true	3257d599a49d2c961a471ca9843f59d341a405884583fc087df4237b733bbd6d	-	-	unresolved
hbomax-latest.xapk	config.in.apk	xapk-member	eea60f4477ff89b100044e1a62fadba3dbad01214542bae2be9829a087dcbebd	c23fd6a377cc9e6241d7e3138f742ebdbdfbc6625744939dfc4b05331fef74c0	69842	com.wbd.hbomax	1827081004		split:config.in	619cbb027b715560b843d15a5599f900485af1cd4294097811a77609bc8273a8	CN=MLB Advanced Media - HBO NOW, O=MLB Advanced Media, L=New York, ST=NY, C=1	v2,v3	true	3257d599a49d2c961a471ca9843f59d341a405884583fc087df4237b733bbd6d	-	-	unresolved
hbomax-latest.xapk	config.fi.apk	xapk-member	eea60f4477ff89b100044e1a62fadba3dbad01214542bae2be9829a087dcbebd	bcf5b389b386f43405b751f04b902e79eb03cc767f4e86a5305e235258ad6566	73938	com.wbd.hbomax	1827081004		split:config.fi	619cbb027b715560b843d15a5599f900485af1cd4294097811a77609bc8273a8	CN=MLB Advanced Media - HBO NOW, O=MLB Advanced Media, L=New York, ST=NY, C=1	v2,v3	true	3257d599a49d2c961a471ca9843f59d341a405884583fc087df4237b733bbd6d	-	-	unresolved
hbomax-latest.xapk	config.hi.apk	xapk-member	eea60f4477ff89b100044e1a62fadba3dbad01214542bae2be9829a087dcbebd	c04d057cad549ffef9a2991e14bf86e65eeb934cd4101b5972488a88f51e7f9a	57554	com.wbd.hbomax	1827081004		split:config.hi	619cbb027b715560b843d15a5599f900485af1cd4294097811a77609bc8273a8	CN=MLB Advanced Media - HBO NOW, O=MLB Advanced Media, L=New York, ST=NY, C=1	v2,v3	true	3257d599a49d2c961a471ca9843f59d341a405884583fc087df4237b733bbd6d	-	-	unresolved
hbomax-latest.xapk	config.uk.apk	xapk-member	eea60f4477ff89b100044e1a62fadba3dbad01214542bae2be9829a087dcbebd	d530f77bc374d9c17646339d56dec1d7652b05695cf33cacfbeabe219737b679	86226	com.wbd.hbomax	1827081004		split:config.uk	619cbb027b715560b843d15a5599f900485af1cd4294097811a77609bc8273a8	CN=MLB Advanced Media - HBO NOW, O=MLB Advanced Media, L=New York, ST=NY, C=1	v2,v3	true	3257d599a49d2c961a471ca9843f59d341a405884583fc087df4237b733bbd6d	-	-	unresolved
hbomax-latest.xapk	config.hu.apk	xapk-member	eea60f4477ff89b100044e1a62fadba3dbad01214542bae2be9829a087dcbebd	ca2d4d3c84141cc2b0ac00ffc0f5421b7e0f4cf8dfb7caa593f7db22240de790	73938	com.wbd.hbomax	1827081004		split:config.hu	619cbb027b715560b843d15a5599f900485af1cd4294097811a77609bc8273a8	CN=MLB Advanced Media - HBO NOW, O=MLB Advanced Media, L=New York, ST=NY, C=1	v2,v3	true	3257d599a49d2c961a471ca9843f59d341a405884583fc087df4237b733bbd6d	-	-	unresolved
hbomax-latest.xapk	config.tr.apk	xapk-member	eea60f4477ff89b100044e1a62fadba3dbad01214542bae2be9829a087dcbebd	3baa7c5bf2bd87e085b386490acc799fda23fe7646467d3a2c890b4d25ca8edf	73938	com.wbd.hbomax	1827081004		split:config.tr	619cbb027b715560b843d15a5599f900485af1cd4294097811a77609bc8273a8	CN=MLB Advanced Media - HBO NOW, O=MLB Advanced Media, L=New York, ST=NY, C=1	v2,v3	true	3257d599a49d2c961a471ca9843f59d341a405884583fc087df4237b733bbd6d	-	-	unresolved
hbomax-latest.xapk	config.ko.apk	xapk-member	eea60f4477ff89b100044e1a62fadba3dbad01214542bae2be9829a087dcbebd	7bd63c2f47756d32fb04bfab405923745371199434ef275374f1c4724b2d53b4	45266	com.wbd.hbomax	1827081004		split:config.ko	619cbb027b715560b843d15a5599f900485af1cd4294097811a77609bc8273a8	CN=MLB Advanced Media - HBO NOW, O=MLB Advanced Media, L=New York, ST=NY, C=1	v2,v3	true	3257d599a49d2c961a471ca9843f59d341a405884583fc087df4237b733bbd6d	-	-	unresolved
hbomax-latest.xapk	config.armeabi_v7a.apk	xapk-member	eea60f4477ff89b100044e1a62fadba3dbad01214542bae2be9829a087dcbebd	22cb3abc0a85090da2ac76d9480a86b397bf47d1c3af32f0c5c527b22666264d	16900578	com.wbd.hbomax	1827081004		split:config.armeabi_v7a	619cbb027b715560b843d15a5599f900485af1cd4294097811a77609bc8273a8	CN=MLB Advanced Media - HBO NOW, O=MLB Advanced Media, L=New York, ST=NY, C=1	v2,v3	true	3257d599a49d2c961a471ca9843f59d341a405884583fc087df4237b733bbd6d	-	-	unresolved
hbomax-latest.xapk	config.sv.apk	xapk-member	eea60f4477ff89b100044e1a62fadba3dbad01214542bae2be9829a087dcbebd	5b522b1b2d6061c27316fbc3a6dbcf2212dd1a95e4e5b6d3dda65121e46d8926	73938	com.wbd.hbomax	1827081004		split:config.sv	619cbb027b715560b843d15a5599f900485af1cd4294097811a77609bc8273a8	CN=MLB Advanced Media - HBO NOW, O=MLB Advanced Media, L=New York, ST=NY, C=1	v2,v3	true	3257d599a49d2c961a471ca9843f59d341a405884583fc087df4237b733bbd6d	-	-	unresolved
hbomax-latest.xapk	config.zh.apk	xapk-member	eea60f4477ff89b100044e1a62fadba3dbad01214542bae2be9829a087dcbebd	331fc8b9e921e2fbd822871c42a1a2acd83a9de4821728f807f80917ba3ed26a	135378	com.wbd.hbomax	1827081004		split:config.zh	619cbb027b715560b843d15a5599f900485af1cd4294097811a77609bc8273a8	CN=MLB Advanced Media - HBO NOW, O=MLB Advanced Media, L=New York, ST=NY, C=1	v2,v3	true	3257d599a49d2c961a471ca9843f59d341a405884583fc087df4237b733bbd6d	-	-	unresolved
hbomax-latest.xapk	config.es.apk	xapk-member	eea60f4477ff89b100044e1a62fadba3dbad01214542bae2be9829a087dcbebd	803b75852a7c27415bfbb9317a55cb7806a84d611f53aa7179c7e007a4b19905	106706	com.wbd.hbomax	1827081004		split:config.es	619cbb027b715560b843d15a5599f900485af1cd4294097811a77609bc8273a8	CN=MLB Advanced Media - HBO NOW, O=MLB Advanced Media, L=New York, ST=NY, C=1	v2,v3	true	3257d599a49d2c961a471ca9843f59d341a405884583fc087df4237b733bbd6d	-	-	unresolved
